sample,phylogroup_containment,phylogroup,assay_type,bioproject,biosample_link,cANI,collection_date_sam,branchwater_containment,geo_loc_name_country_calc,lat_lon,sra_organism,known_country,expected_phylogroup,expected_match
ERR10479404,0.09,PhylI,WGS,PRJEB56878,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112127970,0.93,2018-11-10,0.22,Switzerland,NP,cave metagenome,,,False
ERR10482442,0.09,PhylI,WGS,PRJEB56877,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112127653,0.93,2019-05-24,0.2,Czech Republic,NP,metagenome,,,False
ERR10482446,0.03,PhylI,WGS,PRJEB56877,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112127649,0.93,2019-05-24,0.22,Czech Republic,NP,riverine metagenome,,,False
ERR10509552,0.09,PhylI,WGS,PRJNA429145,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112154501,0.93,2017-11-20,0.2,Czech Republic,NP,lake water metagenome,,,False
ERR10509553,0.07,PhylI,WGS,PRJNA429145,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112154502,0.93,2017-12-11,0.23,Czech Republic,NP,lake water metagenome,,,False
ERR10509554,0.04,PhylI,WGS,PRJNA429145,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112154503,0.94,2018-01-08,0.28,Czech Republic,NP,lake water metagenome,,,False
ERR10509555,0.05,PhylIII,WGS,PRJNA429145,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112154504,0.93,2018-01-29,0.22,Czech Republic,NP,lake water metagenome,,,False
ERR10509556,0.07,PhylI,WGS,PRJNA429145,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112154505,0.94,2018-03-12,0.29,Czech Republic,NP,lake water metagenome,,,False
ERR10509557,0.08,PhylII,WGS,PRJNA429145,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112154506,0.94,2018-04-03,0.26,Czech Republic,NP,lake water metagenome,,,False
ERR1341756,0.2,PhylI,WGS,PRJEB9761,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3912449,0.93,2011-06-22,0.2,USA,NP,metagenome,,,False
ERR1346817,0.08,PhylI,WGS,PRJEB12502,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3914804,0.93,2010-06-25,0.22,Canada,NP,metagenome,,,False
ERR1346833,1.21,PhylII,WGS,PRJEB12502,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3914820,0.94,2012-03-12,0.27,USA,NP,metagenome,,,False
ERR1357129,0.06,PhylI,WGS,PRJEB13455,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3928102,0.93,NP,0.23,Austria,NP,metagenome,,,False
ERR1357130,0.06,PhylI,WGS,PRJEB13455,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3928103,0.93,NP,0.2,Austria,NP,metagenome,,,False
ERR1606219,0.83,PhylII,WGS,PRJEB15294,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4413786,0.95,2016-06-01,0.33,Canada,NP,metagenome,,,False
ERR1606220,0.95,PhylII,WGS,PRJEB15294,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4413787,0.95,2016-06-01,0.32,Canada,NP,metagenome,,,False
ERR1700704,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521354,0.93,2011-09-16,0.2,USA,NP,soil metagenome,,,False
ERR1700712,0.08,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521362,0.93,2011-09-16,0.22,USA,NP,soil metagenome,,,False
ERR1700722,0.04,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521372,0.93,2011-07-07,0.24,Canada,NP,soil metagenome,,,False
ERR1700730,0.04,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521380,0.93,2011-07-07,0.24,Canada,NP,soil metagenome,,,False
ERR1700733,0.04,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521383,0.93,2011-07-07,0.24,Canada,NP,soil metagenome,,,False
ERR1700740,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521390,0.93,2012-03-12,0.2,USA,NP,soil metagenome,,,False
ERR1700741,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521391,0.93,2012-03-12,0.24,USA,NP,soil metagenome,,,False
ERR1700742,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521392,0.93,2012-03-12,0.22,USA,NP,soil metagenome,,,False
ERR1700744,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521394,0.93,2012-03-12,0.21,USA,NP,soil metagenome,,,False
ERR1700745,0.05,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521395,0.93,2012-03-12,0.2,USA,NP,soil metagenome,,,False
ERR1700749,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521399,0.93,2012-03-12,0.22,USA,NP,soil metagenome,,,False
ERR1700750,0.07,PhylIII,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521400,0.93,2012-03-12,0.21,USA,NP,soil metagenome,,,False
ERR1700751,0.05,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521401,0.93,2012-03-12,0.21,USA,NP,soil metagenome,,,False
ERR1700752,0.05,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521402,0.93,2012-03-12,0.22,USA,NP,soil metagenome,,,False
ERR1700754,0.08,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521404,0.93,2012-03-12,0.23,USA,NP,soil metagenome,,,False
ERR1700755,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521405,0.93,2012-03-12,0.21,USA,NP,soil metagenome,,,False
ERR1700756,0.05,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521406,0.93,2012-03-12,0.2,USA,NP,soil metagenome,,,False
ERR1700759,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521409,0.93,2012-03-12,0.22,USA,NP,soil metagenome,,,False
ERR1700760,0.06,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521410,0.93,2012-03-12,0.21,USA,NP,soil metagenome,,,False
ERR1700761,0.07,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521411,0.93,2012-03-12,0.24,USA,NP,soil metagenome,,,False
ERR1742260,0.08,PhylI,WGS,PRJEB8420,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4559819,0.93,2007-07-15,0.21,Canada,NP,soil metagenome,,,False
ERR2179510,0.06,PhylI,WGS,PRJEB22775,https://www.ncbi.nlm.nih.gov/biosample/SAMEA104349897,0.96,2015-09-20,0.39,China,NP,metagenome,China,PhylII;PhylIII,False
ERR2179512,0.05,PhylI,WGS,PRJEB22775,https://www.ncbi.nlm.nih.gov/biosample/SAMEA104349898,0.96,2015-09-20,0.39,China,NP,metagenome,China,PhylII;PhylIII,False
ERR2272680,0.09,PhylI,WGS,PRJEB23134,https://www.ncbi.nlm.nih.gov/biosample/SAMEA104356968,0.93,2015-07-01,0.2,USA,NP,sediment metagenome,,,False
ERR2431955,0.1,PhylI,WGS,PRJEB25358,https://www.ncbi.nlm.nih.gov/biosample/SAMEA104707370,0.93,2015-03-19,0.21,South Korea,NP,sediment metagenome,,,False
ERR2431961,0.04,PhylI,WGS,PRJEB25358,https://www.ncbi.nlm.nih.gov/biosample/SAMEA104707376,0.93,2016-11-15,0.2,South Korea,NP,sediment metagenome,,,False
ERR2586126,0.07,PhylI,WGS,PRJEB26788,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4668162,0.93,2016-04-01,0.2,Cyprus,NP,air metagenome,,,False
ERR2586134,0.07,PhylI,WGS,PRJEB26788,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4668170,0.93,2017-02-01,0.2,Niger,NP,air metagenome,,,False
ERR2586135,0.1,PhylI,WGS,PRJEB26788,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4668171,0.93,2017-02-01,0.2,Niger,NP,air metagenome,,,False
ERR2612536,0.13,PhylI,WGS,PRJEB27088,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4703111,0.95,2015-06-08,0.33,India,NP,sediment metagenome,,,False
ERR2653392,0.05,PhylI,WGS,PRJEB26788,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4745147,0.93,NP,0.21,Niger,NP,air metagenome,,,False
ERR2653393,0.07,PhylI,WGS,PRJEB26788,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4745148,0.93,NP,0.2,Niger,NP,air metagenome,,,False
ERR2653394,0.1,PhylI,WGS,PRJEB26788,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4745149,0.93,NP,0.2,Niger,NP,air metagenome,,,False
ERR2653398,0.07,PhylI,WGS,PRJEB26788,https://www.ncbi.nlm.nih.gov/biosample/SAMEA4745153,0.93,NP,0.2,Niger,NP,air metagenome,,,False
ERR3200791,0.11,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382936,0.95,NP,0.31,NP,NP,uncultured bacterium,,,False
ERR3200792,0.1,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382937,0.94,NP,0.3,NP,NP,uncultured bacterium,,,False
ERR3200793,0.11,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382938,0.94,NP,0.29,NP,NP,uncultured bacterium,,,False
ERR3200795,0.1,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382940,0.93,NP,0.23,NP,NP,uncultured bacterium,,,False
ERR3200796,0.12,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382941,0.93,NP,0.22,NP,NP,uncultured bacterium,,,False
ERR3200800,0.08,PhylIII,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382945,0.94,NP,0.27,NP,NP,uncultured bacterium,,,False
ERR3200801,0.09,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382946,0.94,NP,0.28,NP,NP,uncultured bacterium,,,False
ERR3200803,0.11,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382948,0.94,NP,0.25,NP,NP,uncultured bacterium,,,False
ERR3200804,0.12,PhylI,WGS,PRJEB31441,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382949,0.94,NP,0.26,NP,NP,uncultured bacterium,,,False
ERR3503283,0.55,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927890,0.93,2014-07-16,0.21,Kenya,NP,metagenome,,,False
ERR3503285,0.3,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927892,0.95,2014-07-23,0.36,Kenya,NP,metagenome,,,False
ERR3503289,0.17,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927896,0.93,2014-08-06,0.22,Kenya,NP,metagenome,,,False
ERR3503300,0.24,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927907,0.95,2014-06-25,0.36,Kenya,NP,metagenome,,,False
ERR3503301,0.2,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927908,0.93,2014-06-25,0.23,Kenya,NP,metagenome,,,False
ERR3503303,0.17,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927910,0.97,2014-07-02,0.49,Kenya,NP,metagenome,,,False
ERR3503306,0.22,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927913,0.96,2014-07-09,0.45,Kenya,NP,metagenome,,,False
ERR3503307,1.69,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927914,0.93,2014-07-09,0.24,Kenya,NP,metagenome,,,False
ERR3503308,0.19,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927915,0.96,2014-07-14,0.45,Kenya,NP,metagenome,,,False
ERR3503309,0.68,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927916,0.97,2014-07-16,0.49,Kenya,NP,metagenome,,,False
ERR3503310,0.41,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927917,0.96,2014-07-21,0.44,Kenya,NP,metagenome,,,False
ERR3503312,0.37,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927919,0.96,2014-07-28,0.42,Kenya,NP,metagenome,,,False
ERR3503313,0.24,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927920,0.96,2014-07-30,0.4,Kenya,NP,metagenome,,,False
ERR3503314,0.22,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927921,0.96,2014-08-04,0.38,Kenya,NP,metagenome,,,False
ERR3503316,0.31,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927923,0.96,2014-08-13,0.45,Kenya,NP,metagenome,,,False
ERR3503317,0.4,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927924,0.95,2014-08-18,0.37,Kenya,NP,metagenome,,,False
ERR3503319,0.34,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927926,0.96,2014-08-25,0.41,Kenya,NP,metagenome,,,False
ERR3503320,0.71,PhylII,WGS,PRJEB13833,https://www.ncbi.nlm.nih.gov/biosample/SAMEA5927927,0.97,2014-08-27,0.5,Kenya,NP,metagenome,,,False
ERR3697022,0.1,PhylI,WGS,PRJEB35612,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6260170,0.96,2018-06-20,0.38,Cyprus,NP,soil metagenome,,,False
ERR3697023,0.1,PhylI,WGS,PRJEB35612,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6260169,0.95,2018-06-20,0.36,Cyprus,NP,soil metagenome,,,False
ERR3697024,0.1,PhylI,WGS,PRJEB35612,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6260168,0.95,2018-06-20,0.36,Cyprus,NP,soil metagenome,,,False
ERR3697025,0.1,PhylI,WGS,PRJEB35612,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6260167,0.93,2018-06-20,0.22,Cyprus,NP,root metagenome,,,False
ERR3772655,0.09,PhylI,WGS,PRJEB35881,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6430948,0.95,2008-04-29,0.32,Spain,NP,environmental samples,,,False
ERR3772656,0.08,PhylI,WGS,PRJEB35881,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6430949,0.94,2008-04-29,0.3,Spain,NP,environmental samples,,,False
ERR3929373,0.06,PhylI,WGS,PRJEB36754,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6543055,0.93,NP,0.21,Switzerland,NP,soil metagenome,,,False
ERR3943997,0.07,PhylI,WGS,PRJEB36754,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6543055,0.93,NP,0.21,Switzerland,NP,soil metagenome,,,False
ERR4172300,0.08,PhylI,OTHER,PRJEB38431,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6852354,0.93,2018-09-03,0.22,China,NP,environmental samples,China,PhylII;PhylIII,False
ERR4172301,0.07,PhylI,OTHER,PRJEB38431,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6852354,0.93,2018-09-03,0.22,China,NP,environmental samples,China,PhylII;PhylIII,False
ERR4172302,0.07,PhylI,OTHER,PRJEB38431,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6852355,0.93,2018-09-02,0.2,China,NP,environmental samples,China,PhylII;PhylIII,False
ERR4172303,0.07,PhylI,OTHER,PRJEB38431,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6852355,0.93,2018-09-02,0.2,China,NP,environmental samples,China,PhylII;PhylIII,False
ERR4183326,0.06,PhylI,WGS,PRJEB38557,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6866755,0.93,NP,0.21,Russia,NP,soil metagenome,,,False
ERR4392701,0.07,PhylI,WGS,PRJEB39497,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7090475,0.93,NP,0.2,USA,NP,soil metagenome,,,False
ERR4392706,0.09,PhylI,WGS,PRJEB39497,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7090476,0.93,NP,0.24,USA,NP,soil metagenome,,,False
ERR4592244,0.04,PhylII,WGS,PRJEB37845,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6648797,0.93,NP,0.2,NP,NP,macroalgae metagenome,,,False
ERR4592245,0.06,PhylII,WGS,PRJEB37845,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6648809,0.94,NP,0.29,NP,NP,seagrass metagenome,,,False
ERR4592246,0.02,PhylI,WGS,PRJEB37845,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6648811,0.93,NP,0.22,NP,NP,macroalgae metagenome,,,False
ERR4678685,0.3,PhylI,WGS,PRJEB40798,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7426385,0.93,2018-11-17,0.21,Democratic Republic of the Congo,NP,wastewater metagenome,,,False
ERR4678686,0.2,PhylII,WGS,PRJEB40798,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7426386,0.95,2018-11-17,0.33,Democratic Republic of the Congo,NP,wastewater metagenome,,,False
ERR4998596,0.04,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722294,0.93,2017-07-01,0.2,Finland,NP,soil metagenome,,,False
ERR4998598,0.05,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722296,0.93,2018-07-01,0.22,Finland,NP,soil metagenome,,,False
ERR4998599,0.04,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722297,0.93,2018-07-01,0.21,Finland,NP,soil metagenome,,,False
ERR4998608,0.04,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722304,0.94,2017-07-01,0.25,Finland,NP,soil metagenome,,,False
ERR4998611,0.04,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722306,0.94,2017-07-01,0.27,Finland,NP,soil metagenome,,,False
ERR4998632,0.05,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722321,0.93,2017-07-01,0.21,Finland,NP,soil metagenome,,,False
ERR4998634,0.05,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722324,0.93,2018-07-01,0.22,Finland,NP,soil metagenome,,,False
ERR4998635,0.05,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722325,0.93,2018-07-01,0.23,Finland,NP,soil metagenome,,,False
ERR4998637,0.07,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722327,0.94,2018-07-01,0.25,Finland,NP,soil metagenome,,,False
ERR4998646,0.04,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722336,0.93,2018-07-01,0.21,Finland,NP,soil metagenome,,,False
ERR4998647,0.05,PhylIII,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722337,0.94,2018-07-01,0.27,Finland,NP,soil metagenome,,,False
ERR4998651,0.05,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722340,0.93,2017-07-01,0.22,Finland,NP,soil metagenome,,,False
ERR4998654,0.04,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722342,0.93,2017-07-01,0.2,Finland,NP,soil metagenome,,,False
ERR4998673,0.05,PhylI,WGS,PRJEB41762,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7722355,0.93,2017-07-01,0.21,Finland,NP,soil metagenome,,,False
ERR5029616,0.02,PhylI,WGS,PRJEB42267,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7750919,0.94,NP,0.26,Greenland,NP,permafrost metagenome,,,False
ERR5029654,0.05,PhylI,WGS,PRJEB42267,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7750955,0.93,NP,0.23,Greenland,NP,permafrost metagenome,,,False
ERR5029655,0.05,PhylI,WGS,PRJEB42267,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7750956,0.93,NP,0.23,Greenland,NP,permafrost metagenome,,,False
ERR5029656,0.05,PhylI,WGS,PRJEB42267,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7750957,0.94,NP,0.29,Greenland,NP,permafrost metagenome,,,False
ERR5029657,0.05,PhylI,WGS,PRJEB42267,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7750958,0.94,NP,0.29,Greenland,NP,permafrost metagenome,,,False
ERR5094911,0.12,PhylI,OTHER,PRJEB42459,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7816801,0.93,2019-07-31,0.2,Austria,NP,Sedum atratum,,,False
ERR5321934,0.09,PhylIV,OTHER,PRJEB43026,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8018759,0.93,NP,0.2,NP,NP,metagenome,,,False
ERR5859547,0.09,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616651,0.95,2011-10-01,0.32,United Kingdom,NP,soil metagenome,,,False
ERR5859548,0.08,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616652,0.94,2011-10-01,0.27,United Kingdom,NP,soil metagenome,,,False
ERR5859549,0.08,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616653,0.94,2011-10-01,0.26,United Kingdom,NP,soil metagenome,,,False
ERR5859550,0.06,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616654,0.95,2011-10-01,0.31,United Kingdom,NP,soil metagenome,,,False
ERR5859551,0.06,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616655,0.94,2011-10-01,0.28,United Kingdom,NP,soil metagenome,,,False
ERR5859552,0.06,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616656,0.94,2011-10-01,0.27,United Kingdom,NP,soil metagenome,,,False
ERR5859553,0.05,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616657,0.94,2011-10-01,0.27,United Kingdom,NP,soil metagenome,,,False
ERR5859554,0.06,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616658,0.95,2011-10-01,0.33,United Kingdom,NP,soil metagenome,,,False
ERR5859555,0.06,PhylI,OTHER,PRJEB43407,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8616659,0.94,2011-10-01,0.26,United Kingdom,NP,soil metagenome,,,False
ERR5863203,0.08,PhylIII,WGS,PRJEB35770,https://www.ncbi.nlm.nih.gov/biosample/SAMEA8666877,0.94,2018-02-18,0.25,Czech Republic,NP,lake water metagenome,,,False
ERR635995,0.2,PhylI,WGS,PRJEB7364,https://www.ncbi.nlm.nih.gov/biosample/SAMEA2784244,0.93,NP,0.23,NP,NP,root,,,False
ERR635996,0.21,PhylI,WGS,PRJEB7364,https://www.ncbi.nlm.nih.gov/biosample/SAMEA2784244,0.93,NP,0.23,NP,NP,root,,,False
ERR635998,0.21,PhylI,WGS,PRJEB7364,https://www.ncbi.nlm.nih.gov/biosample/SAMEA2784244,0.94,NP,0.28,NP,NP,root,,,False
ERR636000,0.2,PhylI,WGS,PRJEB7364,https://www.ncbi.nlm.nih.gov/biosample/SAMEA2784244,0.93,NP,0.24,NP,NP,root,,,False
ERR636001,0.21,PhylI,WGS,PRJEB7364,https://www.ncbi.nlm.nih.gov/biosample/SAMEA2784244,0.93,NP,0.23,NP,NP,root,,,False
ERR636002,0.21,PhylI,WGS,PRJEB7364,https://www.ncbi.nlm.nih.gov/biosample/SAMEA2784244,0.93,NP,0.23,NP,NP,root,,,False
ERR671920,0.06,PhylI,WGS,PRJEB7626,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3113580,0.93,2012-11-07,0.2,Australia,NP,soil metagenome,Australia,PhylIV,False
ERR671926,0.07,PhylI,WGS,PRJEB7626,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3113578,0.93,2012-11-13,0.2,Australia,NP,soil metagenome,Australia,PhylIV,False
ERR671927,0.06,PhylI,WGS,PRJEB7626,https://www.ncbi.nlm.nih.gov/biosample/SAMEA3113578,0.93,2012-11-13,0.2,Australia,NP,soil metagenome,Australia,PhylIV,False
